,Type,Date,Price,Size
0,BUY,2018-01-03,94.4888687133789,1058
1,SELL,2018-01-04,98.29630279541016,1058
2,BUY,2018-01-18,104.70459747314452,993
3,SELL,2018-01-19,107.09095764160156,993
4,BUY,2018-01-25,114.97396087646484,925
5,SELL,2018-02-02,105.75030517578124,925
6,BUY,2018-02-27,111.03245544433594,881
7,SELL,2018-02-28,109.15554809570312,881
8,BUY,2018-06-14,84.58207702636719,1137
9,SELL,2018-06-25,80.19354248046875,1137
10,BUY,2018-07-13,83.1297607421875,1097
11,SELL,2018-07-17,87.32886505126953,1097
12,BUY,2018-08-08,126.46671295166016,757
13,SELL,2018-08-28,145.5016326904297,757
14,BUY,2018-08-29,141.4476318359375,779
15,SELL,2018-08-30,141.89100646972656,779
16,BUY,2018-09-03,133.33956909179688,829
17,SELL,2018-09-04,133.27622985839844,829
18,BUY,2018-09-05,133.62461853027344,827
19,SELL,2018-09-06,161.6132354736328,827
20,BUY,2018-09-07,155.34417724609375,860
21,SELL,2018-09-19,145.47166442871094,860
22,BUY,2018-10-15,150.50662231445312,831
23,SELL,2018-10-22,166.35206604003906,831
24,BUY,2018-10-31,167.83290100097656,824
25,SELL,2018-11-05,166.35206604003906,824
26,BUY,2018-11-29,167.73419189453125,817
27,SELL,2018-12-04,160.67535400390625,817
28,BUY,2019-04-01,149.5193634033203,878
29,SELL,2019-04-08,140.14048767089844,878
30,BUY,2019-04-09,144.13885498046875,854
31,SELL,2019-04-10,141.02902221679688,854
32,BUY,2019-05-29,153.17222595214844,786
33,SELL,2019-06-06,151.19773864746094,786
