,Type,Date,Price,Size
0,BUY,2018-01-08,520.33984375,153
1,SELL,2018-01-09,513.8770751953125,153
2,BUY,2018-03-26,513.3438110351562,153
3,SELL,2018-04-13,529.8621215820312,153
4,BUY,2018-05-21,570.2485961914062,142
5,SELL,2018-05-22,595.1382446289062,142
6,BUY,2018-05-23,577.0252685546875,147
7,SELL,2018-05-25,605.0939331054688,147
8,BUY,2018-05-30,593.84765625,150
9,SELL,2018-06-04,572.8895874023438,150
10,BUY,2018-06-21,597.1064453125,144
11,SELL,2018-06-22,615.5382690429688,144
12,BUY,2018-06-25,614.4569091796875,144
13,SELL,2018-06-27,595.467041015625,144
14,BUY,2018-07-04,601.222412109375,143
15,SELL,2018-07-19,627.7191162109375,143
16,BUY,2018-08-01,696.8272705078125,128
17,SELL,2018-08-13,692.3712158203125,128
18,BUY,2018-11-29,599.1937255859375,148
19,SELL,2018-12-06,564.9761962890625,148
20,BUY,2018-12-07,583.1589965820312,144
21,SELL,2018-12-10,567.6129150390625,144
22,BUY,2018-12-11,580.8911743164062,140
23,SELL,2018-12-19,638.5401611328125,140
24,BUY,2018-12-21,634.0193481445312,141
25,SELL,2019-01-10,635.2007446289062,141
26,BUY,2019-01-23,647.2826538085938,139
27,SELL,2019-01-24,638.724609375,139
28,BUY,2019-02-26,643.245361328125,138
29,SELL,2019-03-14,691.0403442382812,138
30,BUY,2019-03-27,695.8502197265625,137
31,SELL,2019-03-28,693.078857421875,137
32,BUY,2019-04-25,764.549560546875,124
33,SELL,2019-04-30,749.691162109375,124
34,BUY,2019-05-17,796.7933349609375,117
35,SELL,2019-05-21,815.9780883789062,117
36,BUY,2019-05-23,798.822021484375,119
37,SELL,2019-06-06,809.97705078125,119
38,BUY,2019-06-21,836.6182861328125,115
