,Type,Date,Price,Size
0,BUY,2018-01-05,176.9605712890625,1130
1,SELL,2018-01-11,173.6300811767578,1130
2,BUY,2018-03-16,164.6138153076172,1192
3,SELL,2018-03-19,159.14749145507812,1192
4,BUY,2018-03-21,166.2376251220703,1141
5,SELL,2018-03-27,172.859619140625,1141
6,BUY,2018-04-20,183.38751220703125,1075
7,SELL,2018-04-23,185.23562622070312,1075
8,BUY,2018-05-16,187.2446746826172,1064
9,SELL,2018-05-17,201.53712463378903,1064
10,BUY,2018-06-06,210.7191619873047,1017
11,SELL,2018-06-22,227.82516479492188,1017
12,BUY,2018-06-28,221.84197998046875,1045
13,SELL,2018-06-29,223.95339965820312,1045
14,BUY,2018-07-12,235.9296112060547,992
15,SELL,2018-07-19,246.20700073242188,992
16,BUY,2018-08-08,274.8262634277344,888
17,SELL,2018-08-29,291.6637268066406,888
18,BUY,2018-08-30,285.9242248535156,906
19,SELL,2018-08-31,279.071044921875,906
20,BUY,2018-11-29,244.8685607910156,1033
21,SELL,2018-12-06,237.62950134277344,1033
22,BUY,2018-12-11,237.0775146484375,1035
23,SELL,2018-12-31,258.41375732421875,1035
24,BUY,2019-01-22,256.14239501953125,1044
25,SELL,2019-01-28,240.1792907714844,1044
26,BUY,2019-01-30,253.5632781982422,989
27,SELL,2019-02-12,256.1325988769531,989
28,BUY,2019-03-06,270.2884216308594,937
29,SELL,2019-03-15,279.47650146484375,937
30,BUY,2019-03-20,280.2433776855469,935
31,SELL,2019-04-05,304.23687744140625,935
32,BUY,2019-04-08,295.4347229003906,963
33,SELL,2019-04-10,292.9190673828125,963
34,BUY,2019-04-25,300.9934387207031,937
35,SELL,2019-05-06,296.43115234375,937
36,BUY,2019-05-16,303.8314514160156,914
37,SELL,2019-05-21,335.41082763671875,914
38,BUY,2019-05-23,329.98394775390625,929
39,SELL,2019-06-17,338.6542663574219,929
