,Type,Date,Price,Size
0,BUY,2018-01-04,144.3402557373047,484
1,SELL,2018-01-09,157.97930908203125,484
2,BUY,2018-01-25,155.563232421875,492
3,SELL,2018-02-01,153.58885192871094,492
4,BUY,2018-02-07,154.62802124023438,489
5,SELL,2018-03-05,158.8886260986328,489
6,BUY,2018-04-17,158.2695770263672,491
7,SELL,2018-04-27,157.80181884765625,491
8,BUY,2018-05-29,155.3804473876953,498
9,SELL,2018-06-05,156.9763641357422,498
10,BUY,2018-06-06,159.94802856445312,489
11,SELL,2018-06-12,156.04075622558594,489
12,BUY,2018-08-02,150.53768920898438,507
13,SELL,2018-08-21,160.3607177734375,507
14,BUY,2018-08-28,162.17678833007812,501
15,SELL,2018-08-29,157.55416870117188,501
16,BUY,2019-02-28,129.38526916503906,610
17,SELL,2019-03-11,137.94296264648438,610
18,BUY,2019-03-13,135.25096130371094,622
19,SELL,2019-03-20,134.31582641601562,622
20,BUY,2019-03-22,134.7807159423828,620
21,SELL,2019-04-03,136.030029296875,620
22,BUY,2019-04-25,146.22789001464844,577
23,SELL,2019-05-07,144.5718536376953,577
24,BUY,2019-05-28,145.6759033203125,573
25,SELL,2019-06-06,156.39674377441406,573
