,Type,Date,Price,Size
0,BUY,2018-01-15,1218.5655517578125,57
1,SELL,2018-01-18,1209.4298095703125,57
2,BUY,2018-01-19,1214.33203125,57
3,SELL,2018-01-22,1207.7808837890625,57
4,BUY,2018-01-23,1219.590576171875,56
5,SELL,2018-01-31,1220.481689453125,56
6,BUY,2018-05-02,1311.9276123046875,52
7,SELL,2018-05-03,1294.32470703125,52
8,BUY,2018-05-07,1335.0565185546875,51
9,SELL,2018-05-16,1402.9722900390625,51
10,BUY,2018-05-17,1399.139892578125,51
11,SELL,2018-05-18,1431.2264404296875,51
12,BUY,2018-05-21,1407.0277099609375,52
13,SELL,2018-05-31,1436.2618408203125,52
14,BUY,2018-06-12,1460.3267822265625,51
15,SELL,2018-06-19,1426.9478759765625,51
16,BUY,2018-06-27,1445.168212890625,50
17,SELL,2018-06-28,1439.2861328125,50
18,BUY,2018-06-29,1473.77001953125,49
19,SELL,2018-07-12,1564.648681640625,49
20,BUY,2018-07-17,1510.184326171875,51
21,SELL,2018-07-18,1476.104736328125,51
22,BUY,2018-07-31,1555.0399169921875,48
23,SELL,2018-08-13,1552.525390625,48
24,BUY,2018-08-17,1602.7244873046875,47
25,SELL,2018-08-29,1576.7713623046875,47
26,BUY,2018-08-30,1592.0382080078125,46
27,SELL,2018-09-03,1525.8095703125,46
28,BUY,2018-11-26,1575.0684814453125,45
29,SELL,2018-11-29,1597.1954345703125,45
30,BUY,2018-11-30,1584.099853515625,45
31,SELL,2018-12-03,1648.7646484375,45
32,BUY,2018-12-04,1632.55322265625,46
33,SELL,2018-12-05,1669.0848388671875,46
34,BUY,2018-12-06,1626.9990234375,47
35,SELL,2018-12-21,1628.8050537109375,47
36,BUY,2019-02-01,1625.01220703125,47
37,SELL,2019-02-12,1620.6768798828125,47
38,BUY,2019-04-25,1566.218017578125,48
39,SELL,2019-05-02,1556.599609375,48
40,BUY,2019-05-17,1568.56591796875,48
41,SELL,2019-06-10,1673.0589599609375,48
