,Start,End,Total Return,CAGR,Volatility,Sharpe,Max Drawdown
BAJFINANCE.NS,200000.0,314755.9983215332,0.573779991607666,0.35667173069470715,0.1611665240277003,2.0232017252437866,-0.0745786704933259
TITAN.NS,150000.0,209302.3105468749,0.39534873697916617,0.25118388093528954,0.13227381937036517,1.8052628132548805,-0.09121005101446611
ADANIENT.NS,100000.0,118925.56578063965,0.18925565780639642,0.12365768522010367,0.2409906245061714,0.6091785418524952,-0.16783384239580934
TCS.NS,100000.0,125405.72241210938,0.25405722412109366,0.16448355165736328,0.1253578040391294,1.3092698792879847,-0.10594438938333406
BAJAJFINSV.NS,80000.0,98399.73541259766,0.2299966926574708,0.14940759244968738,0.13827138394660374,1.1025275092124813,-0.0997016069138833
NESTLEIND.NS,80000.0,92714.4570007324,0.1589307125091548,0.10430333185244689,0.1365873678405355,0.8134294395632875,-0.13534755162261158
NTPC.NS,80000.0,93301.2584381103,0.1662657304763786,0.10899982420164611,0.11053628550414321,1.0155244388788105,-0.05847539122206902
COALINDIA.NS,70000.0,89632.74853515625,0.28046783621651783,0.18092344880270272,0.12297112522127047,1.4492413867208207,-0.06058639831131063
RELIANCE.NS,70000.0,74698.91799926759,0.06712739998953698,0.04467145818074014,0.10329036065866033,0.48561273028021334,-0.10752458506855578
HINDUNILVR.NS,70000.0,81213.43579101562,0.1601919398716518,0.10511156631200902,0.10655529949245905,1.0159029872373182,-0.08542245059039022
Portfolio,1000000.0,1298350.1502380369,0.2983501502380368,0.19199171113188784,0.06016633867291313,3.027040605001848,-0.028106446574667987
