,Type,Date,Price,Size
0,BUY,2018-01-08,342.6361389160156,233
1,SELL,2018-01-09,335.65057373046875,233
2,BUY,2018-03-09,330.3909606933594,237
3,SELL,2018-03-12,328.73626708984375,237
4,BUY,2018-03-16,332.0306396484375,234
5,SELL,2018-03-19,330.64776611328125,234
6,BUY,2018-03-20,338.33441162109375,229
7,SELL,2018-03-27,350.03802490234375,229
8,BUY,2018-04-25,376.8688659667969,213
9,SELL,2018-04-26,390.17535400390625,213
10,BUY,2018-05-08,393.4006652832031,211
11,SELL,2018-05-10,387.5261535644531,211
12,BUY,2018-05-11,410.8880004882813,199
13,SELL,2018-05-29,414.14996337890625,199
14,BUY,2018-05-31,420.31939697265625,196
15,SELL,2018-06-05,415.1665954589844,196
16,BUY,2018-06-15,424.1725158691406,192
17,SELL,2018-06-18,418.77593994140625,192
18,BUY,2018-06-20,423.4127502441406,190
19,SELL,2018-06-28,425.4786376953125,190
20,BUY,2018-07-11,443.6842041015625,182
21,SELL,2018-07-25,445.5542297363281,182
22,BUY,2018-07-31,458.4763793945313,177
23,SELL,2018-08-01,471.81878662109375,177
24,BUY,2018-08-03,449.5162048339844,186
25,SELL,2018-08-23,503.5344543457031,186
26,BUY,2018-08-30,492.2962341308594,190
27,SELL,2018-08-31,505.2007141113281,190
28,BUY,2018-10-31,442.63427734375,217
29,SELL,2018-11-20,447.2927551269531,217
30,BUY,2018-11-28,466.6614990234375,208
31,SELL,2018-12-05,457.49078369140625,208
32,BUY,2018-12-12,477.52239990234375,199
33,SELL,2018-12-24,480.9832763671875,199
34,BUY,2019-01-03,493.4796752929687,194
35,SELL,2019-01-04,477.8062744140625,194
36,BUY,2019-01-09,495.465576171875,187
37,SELL,2019-01-16,486.8198547363281,187
38,BUY,2019-01-24,503.442138671875,181
39,SELL,2019-02-08,495.0450134277344,181
40,BUY,2019-04-16,491.2186279296875,182
41,SELL,2019-04-22,479.0700378417969,182
42,BUY,2019-05-27,489.21051025390625,178
43,SELL,2019-05-28,492.2669372558594,178
44,BUY,2019-05-29,496.7351684570313,177
45,SELL,2019-06-14,509.2798767089844,177
46,BUY,2019-06-21,514.2401123046875,175
