,Type,Date,Price,Size
0,BUY,2018-01-09,417.3068542480469,167
1,SELL,2018-01-16,409.3239440917969,167
2,BUY,2018-01-24,428.5716552734375,160
3,SELL,2018-01-30,421.4978942871094,160
4,BUY,2018-02-28,423.3384094238281,159
5,SELL,2018-03-05,409.8339538574219,159
6,BUY,2018-04-30,427.2189636230469,153
7,SELL,2018-05-03,426.4650573730469,153
8,BUY,2018-06-07,430.7890930175781,151
9,SELL,2018-06-08,436.5545654296875,151
10,BUY,2018-06-22,449.03900146484375,147
11,SELL,2018-06-25,445.4688415527344,147
12,BUY,2018-07-10,457.9338989257813,143
13,SELL,2018-07-20,503.8969421386719,143
14,BUY,2018-08-20,551.3333129882812,130
15,SELL,2018-08-28,588.880615234375,130
16,BUY,2018-08-30,568.9908447265625,135
17,SELL,2018-08-31,554.346923828125,135
18,BUY,2018-09-04,554.4808959960938,135
19,SELL,2018-09-05,547.8062133789062,135
20,BUY,2018-09-06,563.1644287109375,131
21,SELL,2018-09-11,552.5834350585938,131
22,BUY,2018-09-27,559.7490234375,130
23,SELL,2018-10-01,549.9046020507812,130
24,BUY,2018-11-29,521.6884155273438,137
25,SELL,2018-12-06,501.6646728515625,137
26,BUY,2019-01-15,504.3434448242187,136
27,SELL,2019-01-18,528.7647705078125,136
28,BUY,2019-03-06,564.6824951171875,127
29,SELL,2019-03-13,601.515380859375,127
30,BUY,2019-03-15,590.063720703125,130
31,SELL,2019-03-25,591.3138427734375,130
32,BUY,2019-04-18,618.7711181640625,124
33,SELL,2019-04-22,600.6448364257812,124
