,Type,Date,Price,Size
0,BUY,2018-01-12,1234.6688232421875,80
1,SELL,2018-01-16,1267.7998046875,80
2,BUY,2018-01-31,1387.372802734375,73
3,SELL,2018-02-06,1336.0654296875,73
4,BUY,2018-02-28,1352.9154052734375,73
5,SELL,2018-03-07,1349.5274658203125,73
6,BUY,2018-05-25,1598.4197998046875,61
7,SELL,2018-05-28,1561.086669921875,61
8,BUY,2018-05-29,1570.648681640625,61
9,SELL,2018-05-30,1566.4588623046875,61
10,BUY,2018-05-31,1565.110107421875,61
11,SELL,2018-06-01,1557.3795166015625,61
12,BUY,2018-06-12,1601.02294921875,59
13,SELL,2018-06-15,1654.105712890625,59
14,BUY,2018-06-18,1644.1724853515625,60
15,SELL,2018-07-06,1719.638916015625,60
16,BUY,2018-07-09,1692.7154541015625,61
17,SELL,2018-07-11,1779.8233642578125,61
18,BUY,2018-08-13,1801.64990234375,60
19,SELL,2018-08-28,1863.8475341796875,60
20,BUY,2018-09-14,1860.42431640625,60
21,SELL,2018-09-24,1980.2705078125,60
22,BUY,2018-09-25,1966.53369140625,60
23,SELL,2018-10-03,1948.2034912109375,60
24,BUY,2018-11-28,1790.776611328125,66
25,SELL,2018-12-19,1776.8306884765625,66
26,BUY,2019-02-12,1855.855712890625,63
27,SELL,2019-02-15,1836.0452880859375,63
28,BUY,2019-03-15,1845.317138671875,63
29,SELL,2019-03-22,1814.2896728515625,63
30,BUY,2019-04-02,1880.91259765625,60
31,SELL,2019-04-04,1822.2958984375,60
32,BUY,2019-04-05,1852.8709716796875,59
33,SELL,2019-04-10,1845.5889892578125,59
34,BUY,2019-04-15,1911.6688232421875,57
35,SELL,2019-04-30,2044.6885986328125,57
36,BUY,2019-05-03,1928.5849609375,61
37,SELL,2019-05-06,1951.9686279296875,61
38,BUY,2019-05-30,1941.5206298828125,61
39,SELL,2019-06-19,2060.824462890625,61
40,BUY,2019-06-21,2051.6611328125,61
41,SELL,2019-06-28,2031.0052490234375,61
