,Type,Date,Price,Size
0,BUY,2018-01-03,832.5123291015625,180
1,SELL,2018-01-04,868.0955200195312,180
2,BUY,2018-01-15,892.7413330078125,175
3,SELL,2018-01-16,864.6927490234375,175
4,BUY,2018-01-17,868.2899169921875,174
5,SELL,2018-01-18,861.2412719726562,174
6,BUY,2018-03-13,828.2831420898438,181
7,SELL,2018-03-22,862.8941650390625,181
8,BUY,2018-04-05,894.4913330078125,174
9,SELL,2018-04-09,933.9635009765624,174
10,BUY,2018-04-12,948.935546875,172
11,SELL,2018-04-19,926.2828369140624,172
12,BUY,2018-05-09,958.3175659179688,166
13,SELL,2018-05-11,929.4912719726562,166
14,BUY,2018-08-03,897.5769653320312,172
15,SELL,2018-08-21,894.7451782226562,172
16,BUY,2018-11-09,827.7101440429688,186
17,SELL,2018-11-12,873.7020263671875,186
18,BUY,2018-12-11,911.19873046875,178
19,SELL,2018-12-20,904.9492797851562,178
20,BUY,2018-12-28,900.99462890625,179
21,SELL,2019-01-22,959.5343627929688,179
22,BUY,2019-01-31,972.3750610351562,177
23,SELL,2019-02-05,1041.607177734375,177
24,BUY,2019-02-08,1028.4736328125,179
25,SELL,2019-02-18,1003.1829223632812,179
26,BUY,2019-03-07,1018.7576904296876,176
27,SELL,2019-03-27,1090.235595703125,176
28,BUY,2019-04-04,1080.0802001953125,178
29,SELL,2019-04-05,1080.373291015625,178
30,BUY,2019-04-16,1093.7022705078125,176
31,SELL,2019-05-06,1057.3773193359375,176
32,BUY,2019-05-10,1105.4686279296875,168
33,SELL,2019-05-20,1202.677001953125,168
34,BUY,2019-06-17,1226.5030517578125,165
35,SELL,2019-06-18,1227.9188232421875,165
36,BUY,2019-06-21,1261.948974609375,160
