Date,Close,High,Low,Open,Volume
2010-01-04,203.21746826171875,203.7113738692837,199.04395984867375,200.79731872640812,1105496
2010-01-05,205.23008728027344,205.88451812051358,202.77290431452684,204.22993162123493,1422728
2010-01-06,207.72434997558594,208.5763250618667,203.78544987257973,205.46472586751332,2786040
2010-01-07,210.0580291748047,211.09523386801123,206.0820954357814,208.675099632397,4160024
2010-01-08,208.7615509033203,210.91004335457848,206.94645378764545,210.89769872869834,1489588
2010-01-11,209.56411743164062,212.79920780614378,207.93423515668255,211.39157398351577,1298008
2010-01-12,203.25448608398438,209.885177385482,202.50128310650226,209.56412670768148,2264860
2010-01-13,200.77261352539062,202.95813963612196,199.11802685693098,201.26651909371876,3080692
2010-01-14,203.58790588378906,207.50210195643433,200.69855494552672,202.84704744181428,2417604
2010-01-15,202.9705352783203,204.9461579015027,201.3406375705122,203.73608301568171,2505232
2010-01-18,210.36676025390625,212.0213472141105,200.08118402355225,200.74795967292465,2900712
2010-01-19,212.02133178710938,216.3306613316207,211.34221156032632,212.379416375792,4170248
2010-01-20,216.14540100097656,217.26903303303686,211.36687117249147,212.62632420661618,3121764
2010-01-21,208.51458740234375,215.3428382450847,206.45253758359036,215.3428382450847,2718928
2010-01-22,199.9576873779297,206.2055902722159,198.55005338785818,203.73606224500372,5009128
2010-01-25,192.15394592285156,198.7969815208038,191.20318377948118,198.55002874872827,3776552
2010-01-27,188.93124389648438,202.99520941229858,185.83198915176968,189.9067105085859,2550372
2010-01-28,192.84544372558594,196.19165108468033,190.19070117822136,190.82042779117526,3160804
2010-01-29,192.35153198242188,195.69773923447752,183.48592089267262,188.9188822111636,3923208
2010-02-01,193.84559631347656,196.93250620103174,188.96827869113935,189.7091370641526,2995868
2010-02-02,186.16534423828125,197.3152681085813,185.18989283090414,197.3152681085813,1648140
2010-02-03,192.52439880371094,193.73447356510619,184.9676490761817,184.9676490761817,2661184
2010-02-04,184.97996520996094,192.62315628479595,184.0538923432071,192.37620352032826,1252688
2010-02-05,176.89227294921875,180.86822174302785,175.62047517841762,177.80600124797002,2428460
2010-02-08,182.26351928710938,184.83183455264748,176.1761415348614,179.7816465491712,2693544
2010-02-09,183.7205047607422,185.65907785482608,180.07795163115526,182.26347747978744,2165028
2010-02-10,179.6458282470703,185.7085168394353,178.4974916284497,185.1158240544433,1355536
2010-02-11,181.5843963623047,184.2021051658054,179.9051202856608,181.26336072707622,2215932
2010-02-15,179.70755004882812,198.55004509488967,179.09016806781167,198.55004509488967,873176
2010-02-16,182.69566345214844,183.47357073751414,179.49762193969156,180.76943478457798,950928
2010-02-17,187.251953125,188.6348827206731,182.9920174950544,183.1895767126074,2004720
2010-02-18,185.57266235351562,187.7952372873776,184.11563497886348,187.1901999852661,2230472
2010-02-19,180.2755584716797,184.1527207574807,179.0407943725586,184.1527207574807,1024616
2010-02-22,176.85525512695312,187.63473588725154,176.22551342380478,187.63473588725154,1134724
2010-02-23,174.23751831054688,178.78145516297081,173.38552826661734,176.32427216515677,3466060
2010-02-24,174.84259033203125,175.830401576845,171.7680248179878,171.7680248179878,1429912
2010-02-25,180.26319885253906,200.05645667153843,176.2996094385777,200.05645667153843,5061472
2010-02-26,183.79458618164062,187.28897366117403,179.3370920103375,182.2264422312464,2902088
2010-03-02,185.0293731689453,186.64691088746017,183.07844014878737,185.48622978962447,1624384
2010-03-03,187.4618377685547,189.38808139262557,184.86883373762913,186.44933746178972,1768200
2010-03-04,191.43777465820312,192.12923934307844,186.78270628082535,188.17799534630564,2538992
